ObjID,b,l,modelMag_g,modelMag_r
1237645879562862699,-61.456681208819,129.295583596461,19.28224,19.03111
1237645941291614227,-46.1462884577888,182.681209914604,16.16866,15.59175
1237645941824356481,-52.6664086438736,172.317837531259,17.53154,16.87632
1237645942904389833,-41.5103319657708,185.590019357915,19.84326,18.37799
1237645942904455278,-41.4132402508894,185.700920112722,19.53732,19.04037
1237645942904455343,-41.3352607243193,185.7703298321,18.29302,17.66375
1237645942904455388,-41.343010639152,185.773534208267,21.04712,19.65117
1237645942904520909,-41.2305748631598,185.881997098084,19.25871,17.75758
1237645942904520914,-41.2199361078895,185.890892835026,20.02546,18.51962
1237645942904586466,-41.0766192037042,186.041511474483,19.06242,18.49008
1237645942904914039,-40.5713167000418,186.554840414917,18.75145,18.15706
1237645942905372939,-39.7141958811646,187.389950898176,20.34536,18.82426
1237645942905569371,-39.4557135583805,187.960895403384,14.92695,14.55624
1237645942905569521,-39.5115108241667,187.8939882093,21.39297,19.75308
1237645942905635264,-39.2481667670712,187.852121249922,22.39412,20.69616
1237645942905700356,-39.2306425269131,188.067834811766,17.62928,17.09077
1237645942905700448,-39.189236503439,188.198843119106,15.95246,14.95636
1237645942905765958,-39.0619085160779,188.332362288143,24.53598,21.61956
1237645942905831562,-38.8966612828449,188.420920241831,15.38514,14.69812
1237645942905831605,-38.9067509371547,188.268166485823,19.66701,18.38293
1237645942905897089,-38.8030369553852,188.324478214468,19.24767,18.86297
1237645942905897179,-38.7467721277623,188.493351209373,18.00564,16.49416
1237645942905962656,-38.6880053920283,188.407076838372,20.92955,19.39655
1237645942906028070,-38.6311569839611,188.739275851425,17.24245,16.77431
1237645942906028116,-38.4422078844738,188.604543419911,15.35589,14.49014
1237645942906028124,-38.6094722931272,188.629156065283,19.08996,17.63468
1237645942906028214,-38.5401227010269,188.614764314262,20.57853,19.14602
1237645942906028227,-38.553618821042,188.746992901412,20.54007,19.79346
1237645942906028231,-38.5036744641806,188.688230106125,21.05925,19.41239
1237645942906028249,-38.5881139641717,188.664491707394,22.07755,20.40645
1237645942906093728,-38.3543718362762,188.723382323587,20.2245,18.73617
1237645942906290409,-38.1123625252147,189.17664679512,20.85792,19.089
1237645943433396364,-54.0244105143357,166.30576746766,18.1172,17.62324
1237645943433855052,-53.383469238338,167.681665465342,18.32084,17.97896
1237645943434969150,-51.7648222202902,171.010305036131,17.24312,17.35328
1237645943434969249,-51.8432156882234,171.118183943401,18.34317,17.20218
1237645943434969267,-51.8187290816725,171.098591403319,17.18025,16.08924
1237645943435034680,-51.7892861692831,171.272534892848,21.32203,19.6427
1237645943435034760,-51.8047239252985,171.127165028208,18.24314,17.40298
1237645943435034775,-51.773474655052,171.128742055599,18.50592,17.0387
1237645943435034783,-51.7709101374161,171.166520233642,18.95963,17.58961
1237645943435034831,-51.6970766618311,171.048904656224,20.75634,19.59975
1237645943435034856,-51.8354518930301,171.138540198788,20.1093,19.62952
1237645943435034880,-51.8167909612754,171.226036450215,20.22248,20.09955
1237645943973609500,-48.7160005328114,174.996607759999,16.99443,16.60633
1237645943973609570,-48.85443865677,175.133995629151,20.01401,19.67061
1237645943973609585,-48.7784455623234,175.108441842575,19.24303,18.75685
1237645943973609591,-48.7886115191292,175.168858945882,18.72881,17.98474
1237645943973609599,-48.6908168498574,175.027543879488,17.89531,17.25082
1237645943973609643,-48.7564589533344,175.258863461746,19.59004,18.572
1237645943973609659,-48.7630945137128,175.049289197635,20.72031,19.36941
1237645943973609661,-48.8202026809789,175.168755610751,21.49279,20.07778
1237645943973609663,-48.7519701922424,175.08102883733,20.59716,19.39667
1237645943973610025,-48.6514133309237,175.112860387473,23.75328,22.49362
1237645943973675061,-48.7034948280913,175.334655486975,16.19536,15.58417
1237645943973675064,-48.6629968594363,175.279198665524,17.48169,17.0797
1237645943973675103,-48.584638376385,175.268622407407,17.61846,17.91781
1237645943973675114,-48.6518273979159,175.388231265455,16.58798,16.16677
1237645943973675139,-48.6420981179008,175.136012474123,19.98826,19.93318
1237645943973675213,-48.6635224611532,175.316611377074,20.51438,19.55718
1237645943973675227,-48.6217576186255,175.382609647,20.77234,19.19735
1237645943975182466,-46.1303037702297,178.696393649481,18.30937,17.69437
1237645943976493117,-43.9082150277513,181.75187561712,16.06596,15.4773
1237645943976493143,-43.8761133618643,181.686794589332,20.56177,18.9634
1237645943976493233,-43.9247839762488,181.638888035475,20.02485,19.26385
1237645943976493249,-43.8730264889033,181.593855013203,20.30967,18.93479
1237645943976493254,-43.8649295091451,181.647762755756,19.70539,18.34638
1237645943976493259,-43.84265173988,181.633064351878,18.74075,18.21218
1237645943976493329,-43.9667835012577,181.680166326584,21.1286,19.93416
1237645943976493332,-43.8384555886484,181.615873731794,21.11145,19.73457
1237645943976624393,-43.6263873044324,181.81900209737,22.63354,21.05256
1237645943976689870,-43.5686226542899,181.887756420338,21.1314,19.61986
1237645943978328086,-40.7160512782788,185.147844876799,21.58521,20.51434
1237645943978328218,-40.6819575327963,185.142030631887,18.54596,18.09927
1237645943978328243,-40.6936477263522,185.236209107188,22.96245,21.36945
1237645943978328360,-40.6506916596147,185.234554893691,20.77476,20.62119
1237645943978328529,-40.6926966461634,185.206991188567,21.68112,20.45224
1237645943978393614,-40.6357851566765,185.360864085073,17.76852,17.1383
1237645943978393681,-40.54365709339,185.452043214117,17.81077,18.24699
1237645943978393685,-40.6526379560068,185.336878209155,19.20805,18.02192
1237645943978393716,-40.6277360627504,185.379753023595,17.98778,16.86491
1237645943978393752,-40.5506158519025,185.351397109318,17.88072,16.69836
1237645943978393757,-40.4978906756018,185.290341806219,20.16944,19.3546
1237645943978393777,-40.5082103263561,185.38796399187,18.42094,17.80812
1237645943978394040,-40.5926348613197,185.30151428769,22.45619,21.93547
1237645943978394188,-40.5731989067112,185.387784642591,22.38192,20.93606
1237645943978394282,-40.4869696365121,185.354904477677,22.11011,21.68201
1237645943978459165,-40.5018458920621,185.519066486831,16.14014,15.72178
1237645943978459199,-40.4718684674866,185.498743596399,16.7361,16.26196
1237645943978459202,-40.4410664087847,185.452485681039,16.02286,15.51069
1237645943978459256,-40.4605476442277,185.603533554873,16.20731,15.82763
1237645943978459316,-40.4356824037192,185.367570484709,20.35963,18.8861
1237645943978459322,-40.463217765512,185.426375277998,20.05293,18.66331
1237645943978459324,-40.4876271716415,185.469002526087,18.92063,17.92299
1237645943978459347,-40.4539021088576,185.545591060392,18.59115,17.32567
1237645943978459369,-40.5283679557047,185.477218077664,20.41017,18.87695
1237645943978459394,-40.3705665526371,185.467950137432,21.74334,20.22189
1237645943978459422,-40.355395241354,185.443617276077,21.80007,20.20778
1237645943978459531,-40.5310885694279,185.489759292789,22.06401,21.64673
1237645943978459784,-40.3909741687468,185.513176724024,22.1931,21.86706
1237645943978524695,-40.4012544539242,185.565900413057,16.77233,16.27735
1237645943978524724,-40.3761301500105,185.587282580405,17.19975,16.77621
1237645943978524746,-40.2781845933487,185.484402505478,17.51374,16.93961
1237645943978524767,-40.3334478158434,185.718003294035,16.85976,16.68324
1237645943978524843,-40.2429268222927,185.567944008175,19.13243,17.87756
1237645943978524918,-40.3015828266918,185.553270074269,21.60355,20.16718
1237645943978524926,-40.3716099038874,185.701131978874,21.91819,20.32957
1237645943978525034,-40.347951414705,185.480556373948,23.39233,22.15554
1237645943978590229,-40.2803983400139,185.722643121237,18.54519,17.69347
1237645943978590279,-40.237194495363,185.740089722614,17.7481,17.11007
1237645943978590282,-40.1529634439994,185.603201430399,17.48454,16.89914
1237645943978590300,-40.1462952372704,185.682113540777,24.73493,22.99163
1237645943978590317,-40.100708367187,185.659340954566,20.10584,19.56936
1237645943978590383,-40.3070513631767,185.753546874388,17.22412,15.96644
1237645943978590403,-40.2374402794504,185.674247182994,20.30008,19.04214
1237645943978590416,-40.1875517453359,185.648374100172,20.14275,18.64612
1237645943978590483,-40.1803668285087,185.796884562875,19.87809,19.40055
1237645943978591175,-40.1500330027808,185.746097665786,24.80348,22.05774
1237645943978655754,-40.165541193439,185.826902976782,15.96454,15.42682
1237645943978655832,-40.1197069015213,185.922706102537,17.33512,16.53451
1237645943978655852,-40.0724336422911,185.877070663461,20.97547,19.55165
1237645943978655958,-40.1424473751985,185.910469562268,19.34097,18.08005
1237645943978655997,-40.078119010749,185.918464930565,20.06593,19.5326
1237645943978656031,-40.0831712381107,185.764936769336,20.76715,19.50669
1237645943978656041,-40.0260879997589,185.742919149846,20.53449,18.88905
1237645943978656061,-40.0907018858204,185.747833482911,22.03618,20.33716
1237645943978656227,-40.166394095374,185.887145111307,22.01632,21.70139
1237645943978721398,-39.9947104520622,185.822357626923,17.99587,16.69966
1237645943978721466,-39.907561859016,185.972804269069,18.71365,18.09072
1237645943978721500,-40.050345045276,185.968685834366,20.40045,18.90407
1237645943978721505,-40.0029392126662,185.972424025862,20.7069,19.4552
1237645943978721508,-39.9544333020214,185.925319652996,21.16467,19.70321
1237645943978721556,-39.9793629922129,185.907117357887,21.74952,20.19476
1237645943978721769,-39.9149167654754,185.841623125682,22.96983,22.14287
1237645943978721863,-39.9102002826051,185.947116862333,21.89508,21.59364
1237645943978786819,-39.9114635223527,185.991034310469,16.24015,15.79209
1237645943978786823,-39.927217573065,186.019988585354,19.55273,19.17195
1237645943978786835,-39.9101770894294,186.030742499982,16.95602,15.92631
1237645943978786850,-39.9409715334102,186.131175120005,19.50805,18.97482
1237645943978786997,-39.9366026135532,186.071747368298,19.56156,19.05082
1237645943978787003,-39.8642717943275,185.960606330149,18.14381,17.44287
1237645943978787062,-39.8667417842524,186.114688772593,18.51332,17.77943
1237645943978787108,-39.8584062586338,186.180819598866,17.6525,16.76274
1237645943978787121,-39.8450789219802,186.191609617818,19.75682,19.31749
1237645943978787200,-39.8453355708877,185.968719897288,21.93627,20.20968
1237645943978787230,-39.8232021435485,185.98166133554,20.96809,20.70251
1237645943978787235,-39.7976010112272,186.000481151933,20.43229,20.30395
1237645943978787243,-39.7870965015595,186.042735287988,22.1935,21.11728
1237645943978787757,-39.8811009153426,186.17637556455,23.57083,22.13804
1237645943978852556,-39.7528353612587,186.204022431599,19.09158,17.6205
1237645943978852577,-39.753553842902,186.291236227946,18.27114,17.6828
1237645943978852582,-39.6977146827274,186.208336910078,18.84844,17.72049
1237645943978852701,-39.7333487102632,186.177150485561,22.05414,20.39113
1237645943978852711,-39.6728766929251,186.212955582071,20.90202,19.58006
1237645943978852754,-39.6640200339314,186.151352655538,20.86532,20.68033
1237645943978852756,-39.7010786566901,186.228658683185,20.65016,20.1919
1237645943978852860,-39.7725168780214,186.132441095805,22.935,21.03403
1237645943978853063,-39.6812566588267,186.124175828169,22.18622,21.88429
1237645943978853085,-39.7448139569384,186.252843709628,21.56255,21.04843
1237645943978917921,-39.7304633114602,186.328569134675,17.00201,16.46273
1237645943978917930,-39.7124757901635,186.312604936969,17.10079,15.98618
1237645943978917938,-39.697520198118,186.272902239265,19.68363,19.61063
1237645943978918017,-39.5455162413532,186.209362077744,17.23579,16.82497
1237645943978918058,-39.6515786626118,186.207184870331,17.87083,16.34437
1237645943978918065,-39.6689855087822,186.260312031334,18.50005,17.13509
1237645943978918072,-39.7100982446676,186.3419747078,19.57314,19.25132
1237645943978918121,-39.6449469894922,186.26709029538,19.03241,18.50733
1237645943978918155,-39.6185303556328,186.275597448852,19.20892,18.42467
1237645943978918180,-39.5972887096782,186.303264152955,22.56826,21.06882
1237645943978918498,-39.6982606761706,186.361058126892,22.01533,21.78327
1237645943978983452,-39.5731453255134,186.487479116862,17.24606,16.69489
1237645943978983766,-39.4830261095133,186.414860121715,22.2422,20.68319
1237645943978983864,-39.6010825340884,186.433035735672,21.48417,20.66597
1237645943978984028,-39.4956652458952,186.359069719264,24.35914,21.61898
1237645943979048964,-39.4447196331781,186.488446414397,17.90783,17.39957
1237645943979049021,-39.3988337062755,186.528192347811,17.22538,16.49504
1237645943979049173,-39.4189161384016,186.625966735011,19.27139,17.74751
1237645943979049286,-39.4620943171919,186.50805992919,22.09621,20.60119
1237645943979049605,-39.3259284489385,186.526183702182,21.0899,20.38353
1237645943979180167,-39.1540137385963,186.637626679033,18.37835,17.39095
1237645943979180313,-39.137089921984,186.888836590916,21.25512,19.56603
1237645943979245894,-39.1124661955527,186.90934036993,21.11264,20.68782
1237645943979311297,-38.8240395394154,186.93315651767,18.84848,18.3168
1237645943979311315,-38.8702878043864,187.070546976985,19.6892,19.59248
1237645943979376821,-38.7450090596326,187.182916479957,21.60346,20.18077
1237645943979376847,-38.8726609501966,187.122026354584,17.71992,16.84237
1237645943979376870,-38.840254273047,187.151257383881,19.37004,18.71586
1237645943979442414,-38.728486537021,187.302611939506,20.67373,19.14676
1237645943979442462,-38.6708252290747,187.272007328598,21.66657,20.12036
1237645943979573405,-38.3924915764898,187.537027797809,25.11435,24.80206
1237645943979573472,-38.4332210474727,187.537709831039,19.22204,17.74423
1237645943979638952,-38.2618987155651,187.644851062967,22.58647,21.21919
1237645943979704410,-38.1007267605664,187.612497069609,17.83694,17.33372
1237645943979704603,-38.1201096577135,187.640151621912,21.98855,20.12466
1237645943979769875,-38.1022378383438,187.776114336855,16.70116,16.15869
1237645943979769962,-38.0622109529266,187.752620061124,20.14501,18.68958
1237645943979835700,-37.9967603801447,187.849990300954,22.46581,20.81034
1237646379377885363,-41.9610398479877,187.631665666301,20.57228,18.34961
1237646379391713403,-14.9291750068917,206.558867207026,17.90872,16.4211
1237646379391910083,-14.5106111424871,206.788823620067,20.03853,18.01295
1237646379930419314,-11.0497152380575,208.070658882039,22.84458,20.83411
1237646379930420118,-11.0371359432925,208.115287289815,20.01237,18.49354
1237646379931926635,-8.04889991092313,209.7038828323,17.26482,16.53105
1237646379931926982,-7.97868386996279,209.672638655363,17.47576,16.79267
1237646379931927243,-7.96332305173923,209.725634326815,16.9829,16.7966
1237646379931928738,-7.9872258974625,209.630169494718,21.17047,19.63218
1237646379931992696,-7.82056605420558,209.748047050656,16.92113,16.04104
1237646379931992990,-7.74452081914157,209.706878611995,15.75872,15.63107
1237646379931993137,-7.7722075800857,209.805209692986,16.8422,16.68952
1237646379932058197,-7.71800962551595,209.868274039498,16.22015,15.54465
1237646379932059411,-7.63343423875263,209.746799717849,17.49509,16.73375
1237646379932124217,-7.49808197214806,209.88050959858,16.81769,16.30527
1237646379932124268,-7.52147100328048,209.943558259678,17.43833,16.70121
1237646379932189112,-7.4177780378732,209.895224547088,16.3812,16.31779
1237646379932189343,-7.44610385826559,209.985051714946,15.05371,15.04288
1237646379932254336,-7.3511778480309,209.988081132777,16.59722,16.52256
1237646379932254887,-7.34412377172206,210.095886161852,15.1101,15.0294
1237646379932320052,-7.23936420174754,210.157799052366,16.15225,16.02519
1237646379932320240,-7.1841475473555,210.104309966334,15.97317,15.81342
1237646379932385363,-7.0490549471209,210.056127532141,16.99053,16.7887
1237646379932385478,-7.08166236568898,210.156058589183,16.34665,16.21154
1237646379932386132,-6.96509186827375,210.102519358719,17.30824,16.68718
1237646379932387357,-6.96401347480004,210.133875665074,17.70929,16.88225
1237646379932388187,-7.05800117347396,210.139541461834,23.55547,22.57593
1237646379932451129,-6.88584861878243,210.148785710236,15.949,15.74521
1237646379932451761,-6.88961635749384,210.300186736065,15.78144,15.60855
1237646379932452508,-6.91449610286262,210.248514264772,17.31316,16.12215
1237646379932516429,-6.79333454207717,210.222232003678,16.99278,16.83139
1237646379932516467,-6.85925200130513,210.347461478024,16.5989,16.51875
1237646379932517270,-6.73040300242305,210.29577908576,16.50874,16.21932
1237646379932517460,-6.70345010482795,210.346481856967,16.30726,16.14573
1237646379932581905,-6.72593770866133,210.405509073048,17.48968,16.54476
1237646379932647529,-6.53028689694588,210.360595159985,17.00299,16.78813
1237646380468732721,-7.86818342479698,209.243556873938,15.67654,15.53414
1237646380468732863,-7.81004147539839,209.186884040795,15.92648,15.1956
1237646380468798044,-7.76388799869544,209.32503812491,16.99931,16.8145
1237646380468799840,-7.68210701202134,209.300224002458,19.65328,18.18578
1237646380468863020,-7.7108505782298,209.369164317102,18.21705,17.17165
1237646380468863558,-7.66608068183615,209.437762402484,17.83532,17.53279
1237646380468928973,-7.53683000126675,209.484272859736,16.23768,16.02638
1237646380468929292,-7.45010090151502,209.385240741342,16.63273,16.46145
1237646380468929745,-7.44433476178179,209.483025008965,16.94102,16.75194
1237646380468994663,-7.39361671713181,209.544900427631,17.44256,16.99666
1237646380468994865,-7.36999372203989,209.576808415093,16.69052,16.45241
1237646380468994991,-7.28858058012724,209.489304521626,17.67239,16.8463
1237646380469126020,-7.05466659069773,209.626130028661,15.76574,15.58642
1237646380469191122,-6.96923195319673,209.691273788774,16.81766,16.52058
1237646380469191374,-6.9602257180369,209.738066203766,15.12248,15.03983
1237646380469191628,-6.93529288539613,209.77021243481,16.4885,16.23676
1237646380469256459,-6.86916232506003,209.725498150721,17.25661,16.94808
1237646380469256773,-6.83768064668469,209.743212883317,17.34714,17.03721
1237646380469256930,-6.81183943162502,209.737179761249,15.99869,15.76294
1237646380469257069,-6.80427198215226,209.757506978161,17.28848,16.4186
1237646380469257276,-6.77376668198503,209.733104775794,16.45096,15.73094
1237646380469257398,-6.79759771838199,209.83697041509,16.56307,16.39393
1237646380469322333,-6.70279242491533,209.806380527179,17.64243,16.95742
1237646380469322719,-6.62098556155045,209.808763512954,15.92611,15.69043
1237646380469388126,-6.55011519596597,209.937833726375,17.65432,16.86222
1237646380469452902,-6.50046794392782,209.972886085956,15.79297,15.52023
1237646380469453117,-6.53304965181402,210.047390686425,17.08769,16.91075
1237646380469453810,-6.39751933036794,210.00389782927,16.61015,16.44494
1237646380469519267,-6.32732082429351,210.154271453478,16.01069,15.84581
1237646380469584280,-6.21251874240492,210.134010001921,15.42161,15.14455
1237646380469584342,-6.19518089109029,210.151033176165,16.29247,15.90772
1237646380469584394,-6.2036686881421,210.190760116001,15.79357,15.53891
1237646380469584524,-6.12254676330517,210.059428244903,17.44607,17.13468
1237646380469584547,-6.13973679152431,210.102864728378,15.90048,15.48291
1237646380469584615,-6.13758746979022,210.121925683756,17.22681,16.83771
1237646380469584636,-6.15677719424219,210.167399703777,16.98569,16.61706
1237646380469584749,-6.15737638684559,210.201607138836,15.49459,15.23378
1237646380469584910,-6.13589859420347,210.198924676241,17.15643,16.72932
1237646380469649419,-6.08656254617793,210.14673846376,16.12597,15.89359
1237646380469649574,-6.05356618960109,210.096804501247,16.53198,15.98299
1237646380469649703,-6.05368668820333,210.126806390089,16.62435,16.34907
1237646381004620721,-9.74577408579034,207.739555472634,21.04284,19.36728
1237646381005602844,-7.74169468480175,208.882059355642,15.3393,15.23885
1237646381005603164,-7.6935705530589,208.774787768912,17.4443,17.08094
1237646381005603282,-7.7240892144316,208.869429442458,17.68141,17.09707
1237646381005603541,-7.66296330270777,208.799174182772,17.86933,17.15611
1237646381005603707,-7.66579650879272,208.864439081875,18.04745,16.88667
1237646381005668506,-7.64099954680623,208.932623006685,15.33541,15.28192
1237646381005668846,-7.61376848005271,208.938343016557,16.82083,16.25333
1237646381005669121,-7.55808798736313,208.928965763101,18.10299,17.0805
1237646381005669248,-7.52263701329255,208.89536109518,17.43964,16.91285
1237646381005669451,-7.51036241352253,208.925264258332,15.12959,15.01234
1237646381005669495,-7.56293199384334,209.034573426147,17.11228,16.76596
1237646381005670208,-7.54497315375845,208.893618745275,18.418,17.44867
1237646381005734475,-7.44921870912583,209.06392803028,16.77392,16.25536
1237646381005799828,-7.3763809515064,209.093788815549,16.86215,16.7381
1237646381005799970,-7.3065490778521,209.001447364934,16.28127,16.12981
1237646381005800358,-7.27579440200548,209.091988294177,15.72944,15.4419
1237646381005865504,-7.22463084364715,209.19851224447,15.77515,15.59563
1237646381005865950,-7.17053999763311,209.241677339607,17.30335,16.51986
1237646381005931009,-7.04404915967703,209.166886475293,17.66945,16.96618
1237646381005931528,-6.98465614405317,209.226032893853,17.22987,16.9204
1237646381005931565,-6.9427270430331,209.160883897772,16.74721,16.38871
1237646381005996531,-6.95781697857748,209.333868211376,15.70677,15.00928
1237646381006061922,-6.77444882062525,209.331020314502,17.31857,16.94634
1237646381006062138,-6.7325006210429,209.314623441093,15.77499,15.40982
1237646381006062211,-6.71502926097564,209.304377286578,16.95765,16.62155
1237646381006192696,-6.51057649588611,209.404293095455,16.93087,15.50337
1237646381006192960,-6.52683582137739,209.415213572811,16.66926,16.3162
1237646381006193445,-6.50146258778172,209.561869490406,16.24223,16.01778
1237646381006193701,-6.42317561089384,209.428883767947,17.22945,16.98334
1237646381006193717,-6.47082358338593,209.533702496313,16.72922,16.46629
1237646381006258294,-6.44654637445117,209.532938589192,17.01038,16.75288
1237646381006258308,-6.40850660467653,209.466740765343,16.76536,16.53022
1237646381006258321,-6.39831255173711,209.448283018054,16.89575,16.66881
1237646381006258399,-6.43879929233173,209.553725877442,16.05148,15.89751
1237646381006258472,-6.45240630576244,209.598404352692,17.11327,16.74886
1237646381006258641,-6.37834517153756,209.551894525637,16.9683,16.69281
1237646381006258642,-6.33345666030061,209.534969463808,17.63327,16.73334
1237646381006258752,-6.35754829044127,209.464975473815,15.97567,15.77256
1237646381006258900,-6.35537404204813,209.518383688446,17.55305,17.23959
1237646381006259104,-6.32206352906531,209.555848458689,15.73639,15.5434
1237646381006259151,-6.35563440199337,209.609271606233,17.04072,16.811
1237646381006259223,-6.29799691301724,209.513048150948,17.52903,17.22717
1237646381006259296,-6.32166137888099,209.593000587176,17.41557,17.12263
1237646381006323995,-6.27539566050241,209.584474835875,15.57004,15.2984
1237646381006324499,-6.26148310613712,209.678390890012,15.50384,15.29293
1237646381006324522,-6.2265142391948,209.61575696863,15.69957,15.47974
1237646381006324535,-6.20971555038874,209.593543045481,15.3311,15.12512
1237646381006324664,-6.22423216605296,209.659733157165,15.94915,15.68821
1237646381006324805,-6.22445631959995,209.710789726497,16.00653,15.3444
1237646381006389589,-6.11359788153533,209.604313224338,16.1635,15.88616
1237646381006389630,-6.13220279173899,209.654312952415,17.37452,17.09096
1237646381006389691,-6.16405089399196,209.743383758578,15.96402,15.53458
1237646381006389841,-6.12558335728412,209.679891645707,16.51221,16.06934
1237646381006390135,-6.13297076109851,209.774077729729,16.5437,16.3098
1237646381006454907,-6.00859490288354,209.669087284834,16.73441,16.42986
1237646381006455083,-5.98438688296797,209.667939343415,16.27856,16.00629
1237646381006455225,-5.97506622299327,209.687854554191,16.81316,16.52792
