ObjID,b,l,modelMag_g,modelMag_r
1237646381006455283,-6.00356307460163,209.759151517031,17.04883,16.76452
1237646381006455537,-5.97603244793212,209.783435851839,17.14408,16.86133
1237646381006455596,-5.94864671970728,209.745150182946,15.62216,15.24725
1237646381006455670,-5.96224860300582,209.797069224496,17.3617,17.09112
1237646381006455943,-5.9374998725164,209.807019507848,15.58675,15.35137
1237646381006520463,-5.93485604893623,209.875106595559,16.43991,16.01755
1237646381006521417,-5.7962528995339,209.840885536162,16.19591,15.92952
1237646381542474291,-7.48739674095097,208.438013660427,17.13052,16.45979
1237646381542474437,-7.45926630233914,208.408891934877,17.04118,16.94545
1237646381542474690,-7.45494008549784,208.467580859001,15.72136,15.57479
1237646381542474880,-7.48654777128896,208.578006188696,15.07875,14.97058
1237646381542539423,-7.45613602655824,208.579267206249,16.076,16.00332
1237646381542539667,-7.37649053564931,208.57512845857,15.33275,15.08745
1237646381542605200,-7.28152157967048,208.578673636751,16.29846,16.16942
1237646381542605459,-7.25357642463208,208.595490541568,16.15533,15.90715
1237646381542605772,-7.23570031303625,208.649727412026,16.85888,16.62396
1237646381542605880,-7.17575149092836,208.560857993597,16.1379,15.91469
1237646381542606068,-7.21254090421786,208.674110151999,17.48629,16.79137
1237646381542606175,-7.16140477803749,208.597378740803,17.17964,16.3583
1237646381542670881,-7.11737573143041,208.695539008551,17.31176,17.0728
1237646381542671165,-7.09979134869027,208.758924364307,18.26124,17.51425
1237646381542671295,-7.03252538213866,208.67293813254,16.55822,16.33344
1237646381542671504,-7.13253518788498,208.595870855623,17.48966,16.63478
1237646381542736528,-6.95519758787354,208.729067807222,16.88121,16.64107
1237646381542736533,-6.97874374435967,208.781197063918,15.81395,15.53784
1237646381542736734,-6.96836234052164,208.809285554594,16.07568,15.2357
1237646381542736879,-6.94575451078644,208.808847332889,16.5864,15.95328
1237646381542737163,-6.99464600123519,208.650277840858,17.61061,16.807
1237646381542739110,-6.89899371825881,208.726857684575,24.56377,23.10006
1237646381542801444,-6.90889397233135,208.792305182493,15.73938,15.48602
1237646381542801759,-6.85071426326797,208.803146882367,17.40912,17.04113
1237646381542802123,-6.84967421646378,208.919365799762,15.53794,15.31777
1237646381542802267,-6.8085906659373,208.868048849253,16.99503,16.69113
1237646381542867136,-6.78962577086267,208.909981699589,17.33576,17.01053
1237646381542867245,-6.78596709325104,208.938660405904,17.38968,17.09016
1237646381542867499,-6.75545508304758,208.959164457285,18.08221,16.99192
1237646381542868470,-6.71346408639772,208.945948580359,17.98388,17.24169
1237646381542933213,-6.53831478970211,208.973599543124,16.80138,16.37104
1237646381542933841,-6.59051001102951,208.953329119571,18.15974,17.10138
1237646381542998673,-6.37868181802203,208.99292149537,17.52025,17.07221
1237646381543063592,-6.37083558732725,209.069318125215,17.11152,16.71695
1237646381543063809,-6.38444224740339,209.166167303852,17.00058,16.7051
1237646381543063904,-6.31775672000498,209.081668852497,17.47044,16.89026
1237646381543063953,-6.30280709212076,209.051920637247,17.82409,17.27506
1237646381543064354,-6.31348809276712,209.206212741257,17.21786,16.94661
1237646381543064393,-6.22760982166217,209.054080145037,15.60901,15.25681
1237646381543065258,-6.27912068299664,209.033801292152,17.73682,17.22931
1237646381543129222,-6.22461436596037,209.139928906461,17.4301,17.08074
1237646381543129429,-6.17810868412059,209.127532071342,16.96063,16.59686
1237646381543129698,-6.18100415509508,209.241305484422,16.62728,16.22656
1237646381543129759,-6.11859683227391,209.13982417041,16.80284,16.29178
1237646381543195267,-5.98366739699364,209.219708068396,16.48957,15.6118
1237646381543260744,-5.94850019962187,209.396383218418,15.90109,15.51749
1237646381543261157,-5.85557641070734,209.330919166612,17.67515,19.20996
1237646381543325835,-5.84322100182125,209.349901390642,15.63203,15.28263
1237646381543325839,-5.80528348834229,209.278863315032,15.85772,15.38415
1237646381543325905,-5.85416378899752,209.39068984715,17.17574,16.77034
1237646381543325913,-5.81228125418094,209.310463338423,17.10482,16.68451
1237646381543326009,-5.79188017525539,209.296253484812,16.00144,15.50601
1237646381543326287,-5.73732306314145,209.336941233731,16.56124,15.47396
1237646381543326542,-5.75374073742939,209.382204830991,15.96457,15.55607
1237646381543326601,-5.77394685514994,209.437767402199,16.05995,15.58759
1237646381543326833,-5.71226827548015,209.402352351056,15.93601,15.53254
1237646381543327292,-5.84509185714984,209.429732494182,17.75274,17.2761
1237646381543327768,-5.75810260821758,209.416573148763,17.61146,17.13061
1237646381543391529,-5.67634280385139,209.419040000631,16.31005,15.93016
1237646381543391575,-5.65985844399147,209.401661922935,17.35932,17.00053
1237646381543391583,-5.67719724346753,209.444892047689,16.23039,15.86318
1237646381543391627,-5.63661628449639,209.378147402909,16.52588,16.08438
1237646381543391669,-5.6985300593896,209.521881429284,15.60901,15.23563
1237646381543392145,-5.60769940407943,209.466734752244,17.52955,16.87768
1237646381543392238,-5.56893991754011,209.419623086698,17.18992,16.87659
1237646381543392348,-5.59562436534916,209.498148875177,17.12411,16.79706
1237646381543457037,-5.54418472983547,209.46570648772,16.73776,16.12487
1237646382079344941,-7.37990317313331,208.118380458428,16.49161,16.37156
1237646382079345434,-7.30957221183784,208.151444333086,16.20353,16.03177
1237646382079410288,-7.27777117341806,208.212713310619,17.01926,16.83964
1237646382079475776,-7.10525057326187,208.20078100121,16.25355,16.11118
1237646382079476040,-7.08391398047969,208.221034688418,17.29709,17.12535
1237646382079476277,-7.04525251007645,208.198160108796,17.03205,16.25316
1237646382079476342,-7.09140943940545,208.309278633615,16.97307,16.82206
1237646382079476799,-6.97935802565856,208.212706938318,16.70999,16.11897
1237646382079476967,-7.03151007324554,208.356335669709,17.18747,17.03732
1237646382079477651,-6.98974973799367,208.193178452555,17.81034,17.05785
1237646382079541340,-6.97822205917345,208.282381678264,16.32999,15.95743
1237646382079541357,-7.00173929500267,208.328658057137,16.03863,15.68392
1237646382079541631,-6.91234014774968,208.239283892611,17.22277,16.62465
1237646382079541699,-6.96094717511711,208.349894019049,16.73817,16.41261
1237646382079541728,-6.90809159304753,208.25749102974,18.10348,17.56385
1237646382079541912,-6.91436444336133,208.292983830544,17.61624,17.15666
1237646382079541994,-6.91574938369574,208.319260615496,16.42243,15.98268
1237646382079542727,-6.94917806036228,208.260592977937,18.00372,17.03082
1237646382079606869,-6.88705021979804,208.428352428096,16.93495,16.66893
1237646382079607640,-6.75798275515483,208.471107768761,15.20952,14.98551
1237646382079607680,-6.70445413134957,208.366757384899,15.98848,15.78144
1237646382079672552,-6.70007615515117,208.462532229368,17.7482,16.93807
1237646382079672588,-6.71765429607229,208.521564229406,16.33459,15.9378
1237646382079672642,-6.63729774230044,208.390680214101,15.45932,15.09149
1237646382079672786,-6.6302583636574,208.445764956344,16.84807,16.56249
1237646382079738335,-6.53777708603344,208.535900381717,17.21637,16.879
1237646382079738484,-6.46551957173836,208.51089653309,17.04699,16.18417
1237646382079738485,-6.48358014143266,208.497798981959,17.14267,16.82793
1237646382079803959,-6.39370790827252,208.6567724238,17.16475,16.43934
1237646382079803986,-6.34903727816082,208.579286971906,17.33186,16.71105
1237646382079803989,-6.37765427673948,208.639249469164,16.98003,16.55138
1237646382079804054,-6.32801649169245,208.575140516938,15.85535,15.27957
1237646382079804099,-6.35532595803344,208.687394966971,16.936,16.52606
1237646382079804389,-6.40769732805024,208.487997424206,17.9869,16.91245
1237646382079804742,-6.36534334698857,208.516293777053,17.42032,16.92537
1237646382079804787,-6.40210204144469,208.592203365396,18.3968,17.00155
1237646382079804915,-6.38989449192356,208.613568379349,17.84216,17.28415
1237646382079805324,-6.32152510800387,208.613135172085,17.47507,16.89113
1237646382079806186,-6.3234524601015,208.590635252466,21.82148,20.59196
1237646382079869048,-6.29047453125486,208.598911691222,17.14641,16.61905
1237646382079869104,-6.31484610570585,208.672948357317,17.10663,16.47295
1237646382079869144,-6.27839440826749,208.628512333716,17.84022,17.27028
1237646382079869603,-6.21897837577816,208.690139722557,15.735,15.21868
1237646382079869702,-6.24068726729149,208.770844166829,16.31179,15.57438
1237646382079934757,-6.17809415456804,208.798516457368,17.27995,16.91199
1237646382079934844,-6.13176654032358,208.728890917389,17.05644,16.67264
1237646382079934911,-6.10126531130423,208.701804091894,16.2768,15.88516
1237646382079935021,-6.07358862282899,208.70782424819,16.29491,15.75286
1237646382079935586,-6.18084124275041,208.7654980805,17.5856,17.13244
1237646382079935969,-6.11395565819272,208.757023655728,17.92501,16.85018
1237646382080000028,-6.04402342636208,208.743041020551,17.14656,16.69536
1237646382080000047,-6.02363422405171,208.713212623477,16.51653,16.0341
1237646382080000397,-5.99464152968293,208.851398978451,16.76296,16.33261
1237646382080000516,-5.92091801042064,208.781832376647,17.19692,16.72005
1237646382080001750,-5.92563256226076,208.818422045815,17.71179,17.17122
1237646382080065645,-5.87999371707742,208.773336399499,16.58656,16.08534
1237646382080065674,-5.93683919504953,208.90234938926,16.35856,15.90612
1237646382080131559,-5.73690728048545,209.023066561226,17.26979,16.3621
1237646382080197278,-5.52878769812018,208.96212416324,17.38148,16.81298
1237646382080262641,-5.4711320537336,209.166972388444,16.32059,15.91821
1237646382080262656,-5.43628363042063,209.143039650463,16.08913,15.66747
1237646549575336530,-44.8847775929392,179.870517362659,23.83072,22.24875
1237646551172318098,-12.9985998159889,207.169356306024,21.55502,19.69054
1237646585559187506,-26.8308008024965,199.121420184969,19.99689,19.69541
1237646585559187545,-26.832502985399,199.141850358694,17.25729,16.74891
1237646585559187811,-26.7519941393686,199.067869075075,20.16924,19.87475
1237646585559187861,-26.8002999534042,199.279330885922,20.16127,19.80688
1237646585559253377,-26.6236862052911,199.164809810811,19.90081,19.56056
1237646585563185946,-18.7686991914182,203.912443948946,20.1016,19.44124
1237646585563513044,-18.084035412218,204.332406052653,20.10641,18.90512
1237646585563513548,-18.1116120450327,204.349822827067,18.15786,17.2621
1237646585563643993,-17.9129750605398,204.403728392184,16.50757,15.85498
1237646585563644094,-17.9272874549144,204.495044882188,16.04441,15.21799
1237646585563644566,-17.9394275663617,204.4246121292,19.24866,17.81583
1237646585563644661,-17.9321576335002,204.4765277951,18.66842,18.12538
1237646585563644838,-17.893397915833,204.540285666351,19.55356,18.97342
1237646585563644920,-17.8202323196799,204.486953049015,18.36438,17.1273
1237646585563645423,-17.8765312385492,204.508475144026,21.20983,20.37673
1237646585563645485,-17.8688772949927,204.566094215326,21.68503,20.18697
1237646585563709988,-17.8006766090251,204.463855352167,19.25876,18.65072
1237646585563710511,-17.7827275365433,204.497794750571,21.02813,19.48957
1237646585563710534,-17.8073249557788,204.676639626746,21.20042,19.65254
1237646585563710575,-17.8426754226675,204.65813710477,20.45384,19.80857
1237646585563710949,-17.6940591973106,204.55122431509,22.39688,20.68152
1237646585563775329,-17.6184150908649,204.707854740604,19.50709,18.0971
1237646585563775441,-17.5780147028332,204.607838310733,17.39803,16.63741
1237646585563775639,-17.6322983642377,204.580945031404,19.7668,18.84143
1237646585563775767,-17.6032662240738,204.639922958523,18.71148,17.34442
1237646585563776176,-17.6416343482307,204.630154389053,21.77902,20.27854
1237646585563776194,-17.6854341887299,204.743016764584,21.36776,20.67504
1237646585563776213,-17.6442607253916,204.679562478369,22.06591,20.43549
1237646585563776264,-17.5662968895295,204.601526204644,22.38832,20.77862
1237646585563840555,-17.5896573081685,204.783489870221,15.45098,14.83743
1237646585563840578,-17.5972023872355,204.759295348846,19.05951,18.27053
1237646585563841186,-17.5505355549851,204.781230107129,19.03899,18.4782
1237646585563841252,-17.459814758081,204.65595427897,18.9591,18.19646
1237646585563841256,-17.4906769532211,204.721046603903,19.73721,18.24727
1237646585563841438,-17.5287516152718,204.769021072229,20.4235,19.57411
1237646585563841660,-17.5135793927893,204.651975335936,21.38213,20.66658
1237646585563841670,-17.5471888421113,204.74178212339,21.96606,20.33832
1237646585563841793,-17.4919533968137,204.754131675392,22.30809,20.66148
1237646585564496641,-16.1360800168956,205.396446938706,21.62965,19.86584
1237646585565151362,-14.9228537476871,206.138474067489,21.10984,19.15295
1237646585565151454,-14.8592197695539,206.206260944013,20.79992,18.67007
1237646585565151456,-14.8199959436168,206.129887435256,20.88723,18.82458
1237646585565151524,-14.9696844214862,206.262462508852,21.40525,19.8163
1237646585565151538,-14.8791397593072,206.150383225139,22.06785,19.40809
1237646585565151553,-14.8048110322097,206.126071075204,22.14956,19.79482
1237646585565151650,-14.9480658394208,206.234606892843,22.80643,20.5706
1237646585565216994,-14.7216165112118,206.367059836334,21.09118,18.36352
1237646585565217293,-14.717157466206,206.348011898868,23.77967,20.91943
1237646585565282442,-14.5712276949982,206.305457708893,20.09276,17.99473
1237646585565282453,-14.5260926973042,206.304929667365,20.90639,18.88725
1237646585565282456,-14.5603224778854,206.375124357123,22.82901,19.31123
1237646585565282490,-14.6601691886912,206.345922110905,22.62966,20.06192
1237646585565282528,-14.5093938692765,206.303609006181,22.62256,20.13431
1237646585565413555,-14.3229346678327,206.406483725217,21.18299,19.39935
1237646585565413605,-14.265593933421,206.474848278967,21.03235,19.01395
1237646585565479465,-14.1319001597907,206.515796813536,21.56756,19.75664
1237646585565479478,-14.1325161332281,206.55575353125,22.09091,19.73214
1237646585565479543,-14.3045042104055,206.567905176696,22.67862,21.19151
1237646585565545065,-14.1358545950766,206.673469654517,21.65592,19.52323
1237646585565545369,-14.081112583129,206.664752989723,22.53069,20.32154
1237646585565545375,-14.038865269679,206.589659686477,23.14442,20.88878
1237646585565610322,-13.9556039537908,206.712862454304,19.58392,18.09688
1237646585565610542,-13.9791303716188,206.592478678695,21.10015,19.15656
1237646585565610837,-14.0388743671232,206.74292035833,22.57927,20.68033
1237646585565611074,-13.8880015083421,206.666954310396,22.294,20.16062
1237646585565676024,-13.7547425484036,206.701313700545,19.37527,17.97497
1237646585565676326,-13.8752176102257,206.790623299733,21.91744,19.90968
1237646585565676348,-13.7707272522075,206.715310879614,20.7658,19.39695
1237646585565676732,-13.8250035214723,206.879514793524,22.71757,20.83572
1237646585565676948,-13.8667635018905,206.810749680406,23.25957,20.90132
1237646585565741827,-13.7696765757056,206.874147730589,20.12211,18.70071
1237646585565741881,-13.6673485370254,206.804495504778,20.15892,18.23136
1237646585565741991,-13.718492685386,206.959360816462,22.06667,20.2417
1237646585565742176,-13.6966735467576,206.758521288464,21.97943,19.9433
1237646585565742444,-13.6229474216242,206.825822937569,22.04505,20.18802
1237646585565806617,-13.6405481884729,206.967019010885,19.59463,18.09703
1237646585565807566,-13.5700503705848,206.803540218583,20.67107,19.19714
1237646585565807710,-13.5517039273878,206.827968984883,21.75086,19.73964
1237646585565807731,-13.5673090671896,206.957785790613,21.49184,20.04858
1237646585565807743,-13.5333800678334,207.004651235975,21.38821,19.60242
1237646585565807745,-13.5313977500564,207.033158761997,21.64049,20.00923
1237646585565807843,-13.6100549249272,206.869471324789,22.40293,20.64353
1237646585565807851,-13.6225693042407,206.900294142233,22.6397,20.94481
1237646585565807884,-13.5851540213961,206.854530291566,22.28451,20.27645
1237646585565872373,-13.3342173730943,206.963680907515,22.26466,20.60202
1237646585565873224,-13.4987041309968,206.999339844873,22.68748,20.83408
1237646585565873255,-13.4553958665714,206.940110611878,22.23952,20.58571
1237646585565873345,-13.4578666126574,207.028133501684,22.69849,20.89415
1237646585565938381,-13.2394713969479,206.977929208044,19.24319,17.76398
1237646585565938552,-13.3540168247976,207.061120371865,20.61301,18.85327
1237646585565938687,-13.2369441143086,207.1211772892,20.55719,18.81277
1237646585565938724,-13.3226949783266,207.117819490099,21.83633,20.07969
1237646585565938730,-13.2462008724239,207.022042623766,21.29369,19.53922
1237646585565939018,-13.2615582660378,206.981819126981,22.41489,20.50035
1237646585565939029,-13.2840015641891,207.036829442308,22.45953,20.6756
1237646585566004058,-13.2414931370245,207.2077315294,21.14356,19.31036
1237646585566004187,-13.2560745090867,207.176219788682,21.59391,19.70621
1237646585566004199,-13.209098517794,207.191919883474,21.95547,20.03895
1237646585566004209,-13.1668477443886,207.200240666021,21.62183,19.7814
1237646585566004212,-13.1460129487626,207.178303078555,21.17247,19.60044
1237646585566004216,-13.1083611132028,207.12308564266,21.38902,19.8067
1237646585566135108,-12.868489855561,207.382273670269,20.0347,18.53824
1237646585566135378,-12.9595531628489,207.289157016284,21.83785,20.05082
1237646585566135389,-12.890639553908,207.16789813664,22.71055,20.68908
1237646585566135602,-12.8432868053046,207.280863789689,22.3516,20.7888
1237646585566135627,-12.8620472207822,207.329910825115,22.75092,20.78429
1237646585566135652,-12.8560763688744,207.331838917485,21.87489,20.1372
1237646585566200010,-12.7296494182545,207.29763874492,23.7206,20.55637
1237646585566200883,-12.8146323329906,207.381593531901,21.98781,20.2456
1237646585566200888,-12.7847094699689,207.353140553221,21.80643,20.07829
1237646585566200900,-12.7073264108766,207.269861444853,21.50278,19.91883
1237646585566200916,-12.7003696331503,207.296296821662,21.46207,19.56264
1237646585566265969,-12.6601515412591,207.352753318976,20.21967,18.73569
1237646585566332321,-12.4421929816312,207.478015575194,22.02771,20.5065
1237646585566397740,-12.3182060618661,207.53318547797,20.60341,18.96489
1237646585566397767,-12.2674538009605,207.516368629769,19.96132,18.49771
1237646585566397822,-12.3220550335938,207.560147243823,21.61831,19.9908
1237646585566397950,-12.462785354408,207.597581354612,22.44662,20.88094
1237646585566398125,-12.3554046585986,207.516482211252,22.22887,20.60584
1237646585566398355,-12.3462603250334,207.651946234749,22.01687,20.35258
1237646585566398390,-12.3015964023906,207.602305548866,21.93711,20.37474
1237646585566528939,-12.1035761928459,207.690805931785,21.6334,19.96846
1237646585566528945,-12.0641966751533,207.700567752108,22.24387,20.71647
1237646585566529372,-12.1064868009139,207.77661062003,21.86567,20.2337
1237646585566529795,-12.1298184772187,207.807889071838,23.84775,21.94571
1237646585566594517,-11.9762183923494,207.773445589957,22.19895,20.3898
1237646585566594912,-11.9703935778711,207.803099624719,22.20158,20.43598
1237646585566659794,-11.7749954748887,207.840879731908,21.09466,19.4287
1237646585566725417,-11.6743330149795,207.860376180387,21.87774,20.3151
1237646585566725438,-11.6774340922456,207.9805366608,21.57633,19.72166
1237646585566725780,-11.7164424307323,207.95491377921,22.1417,20.29383
1237646585566791299,-11.6346032843421,208.07791780808,22.10273,20.20513
1237646585566791371,-11.5566684373344,207.977130776084,22.36372,20.5878
1237646585566791410,-11.5299931852963,207.951839066294,22.15679,20.35232
1237646585566791476,-11.5104745589809,207.961518958109,21.93148,20.17748
1237646585566856533,-11.4030212447358,208.00235306708,20.92042,19.21788
1237646585566856539,-11.454257847739,208.113577917475,20.8938,19.33808
1237646585566856863,-11.4543707055479,208.009146927881,21.86343,20.13018
1237646585566922151,-11.201089844839,208.08888860065,21.46341,19.60793
1237646585566922179,-11.3627286176146,208.11248755155,21.64366,20.00539
1237646585566922195,-11.3375082690699,208.204512878718,22.5181,20.54127
1237646585566987481,-11.2461269408355,208.244038464726,20.5665,19.00363
1237646585566987801,-11.2501778587358,208.208307478465,22.23428,20.73846
1237646585566987830,-11.2342591692469,208.200781109565,22.75136,20.80319
1237646585567052777,-11.0135936943295,208.260808764185,19.41331,18.53534
1237646585567053094,-11.0885924482381,208.253086691081,21.46822,19.4251
1237646585567053177,-11.0014417658737,208.214030438839,20.39362,18.87664
1237646585567053197,-10.9888168343006,208.211766158746,20.5556,19.03644
1237646585567053221,-10.9834792025156,208.26757634012,21.13268,19.54038
1237646585567053294,-11.0592441649334,208.304602740505,21.96122,20.16082
1237646585567053295,-11.0582754005819,208.323680938197,21.83302,19.9649
1237646585567053304,-11.0101492734322,208.265766611711,22.00574,20.32479
1237646585567053486,-11.0874280863227,208.233608432771,22.17867,20.71861
1237646585567119187,-10.9551479735622,208.380974443538,22.27042,20.59565
1237646585567184720,-10.8156961707372,208.39664441967,22.09975,20.15284
1237646585567249857,-10.6913774877712,208.435364642373,21.46374,19.63381
1237646585567250438,-10.6360990139303,208.579303384099,22.43092,20.45177
1237646585567315919,-10.4280910537834,208.527319615193,22.53749,20.68968
1237646586096058822,-26.6103494194825,198.801766558331,19.77531,19.39688
1237646586096059026,-26.6264784481459,198.817531365762,20.57885,20.00739
1237646586096124243,-26.4795197305412,198.899949181339,19.89805,19.56341
1237646586096189712,-26.4319485698948,198.973336123741,19.55541,19.27145
1237646586096189751,-26.3825635717114,198.929462687089,20.14439,20.10841
1237646586096189778,-26.317311061325,198.859759477094,20.09242,19.80366
1237646586096189817,-26.320925361398,198.946765291469,19.75869,19.38773
1237646586096189823,-26.29378384038,198.911144461069,19.52425,19.18709
1237646586096190006,-26.3358702228916,198.89432045665,20.31556,19.93726
1237646586096255262,-26.3061644419486,199.051471911396,19.56647,19.14536
1237646586096255319,-26.1955136798183,198.918766144812,20.24573,19.8337
1237646586096255586,-26.257844828734,198.972595670103,20.24272,19.88297
1237646586099860485,-19.0507114072323,203.44686526222,21.53902,19.9662
1237646586099926070,-19.0061261770329,203.498773799746,20.8047,19.37461
1237646586099926114,-18.9332809656779,203.554109955599,20.69164,19.27161
1237646586099990569,-18.8685071179296,203.574212981933,16.61058,16.3551
1237646586099991019,-18.7692664369379,203.635320064932,20.45825,19.01031
1237646586099991275,-18.8365177296196,203.584362544103,19.99021,19.19507
1237646586099991356,-18.8112167665868,203.622562468118,18.57771,17.92503
1237646586099991728,-18.7719008761953,203.615906508883,20.18487,19.63111
1237646586099991767,-18.8152947706192,203.449148638575,21.79589,20.1137
1237646586099991794,-18.8485614441883,203.523593141414,21.89048,20.39626
1237646586099991901,-18.8129596640243,203.553515496522,22.00196,20.57434
1237646586099992161,-18.7236933069648,203.595680226465,21.00694,20.34853
1237646586100056992,-18.7312362066818,203.619840839796,22.1548,20.5627
1237646586100057224,-18.627047796376,203.518504741901,22.14401,20.55205
1237646586100057266,-18.6516379919187,203.598860715727,20.95424,20.19921
1237646586100122021,-18.5523530421062,203.611748358456,19.11083,18.44928
1237646586100122169,-18.4747862947507,203.575387236281,19.38529,17.92398
1237646586100122262,-18.4395547564662,203.613337534346,19.55806,18.66981
1237646586100122880,-18.3966688515348,203.62122119704,20.53371,19.73152
1237646586100253530,-18.2792455944319,203.892661124996,20.56227,18.84235
1237646586100253537,-18.2772175489669,203.926994496685,21.064,19.39141
1237646586100318523,-18.1191928274479,204.022755819599,22.28938,20.53299
1237646586100318560,-18.0474277969666,203.89425616326,16.75539,15.79925
1237646586100318579,-18.1121260319315,204.026212590322,17.10841,16.52928
1237646586100318647,-18.184894768436,203.89635512264,19.29762,18.62329
1237646586100318755,-18.168843945199,203.972903784221,17.67533,16.75435
